id,owner_id,top_comment_text
456243000,-220754053,"В первых кадрах я думал, что они приложились к женской заднице…."
456242989,-220754053,"Это 💩кто-то смотрит?!😂 Кулинарку закрыли,отыдо закрыли...а это 💩оставил!?🤦🏻‍♀️😂"
456242987,-220754053,
456242978,-220754053,Плохо
456242976,-220754053,Не место этому здесь.Не буду больше вас смотреть!
456242973,-220754053,"А где эти все шоу, если уже пересмотрено все7:)"
456242972,-220754053,
456242971,-220754053,
456242959,-220754053,Аааа
456242955,-220754053,Первый) поздравляю Артемия.
456242954,-220754053,
456242953,-220754053,И вас с праздником ❤️‍🔥
456242952,-220754053,
456242944,-220754053,Хоть изредка да приглашают людей с актерским образованием
456242943,-220754053,Нет
456242931,-220754053,Хорошо. Оценим🤙🏻⚠️
456242922,-220754053,"Наконец-то!
Смотрим!"
456242920,-220754053,Класс! Когда выйдет?
456242896,-220754053,Вк респект. Хороший проект. Добрый
456242895,-220754053,1
456242894,-220754053,Фигня шоу
456242890,-220754053,огонь! Дальше продолжение ждатЬ?
456242889,-220754053,Нормал✊
456242893,-220754053,Просто волшебство 😻 Спасибо вам!
456242888,-220754053,"Ааааааааа, супер 😍😍😍😍😍спасииибо за серию ❤️"
456242887,-220754053,Как мне нравится это мини сериал 😍😍😍😍😍 очень круто
456242875,-220754053,Наша Евочка😍😍😍😍
456242886,-220754053,Что за бред
456242885,-220754053,Какой закос под Джо Гилгана 🤣
456242874,-220754053,🤮
456242884,-220754053,а что за трек в конце?
456242883,-220754053,Не. Третью и смотреть не буду
456242873,-220754053,Какая милота
456242882,-220754053,Как это развидеть
456242877,-220754053,3:38. Ток один интересный момент.
456242872,-220754053,"Только посмотрел первую и вторую, закрываю и вижу новый, только вышедший, выпуск 
Что, если не новогоднее волшебство 🥳"
456242876,-220754053,"Раньше говорили, нет дыма без огня, а сейчас говорят нет просмотра без показа ¯\_( ͡° ͜ʖ ͡°)_/¯"
456242871,-220754053,"Вот так😍 наши любимые комики не только умеют смешить нас, но и делать добрые дела🥰 Спасибо вам за всех деток, которым вы помогли исполнить их маленькие и такие искренние мечты🥳🥳🥳🥳🥳"
456242870,-220754053,
456242868,-220754053,
456242859,-220754053,1.
456242862,-220754053,Давай уже запускайте
456242855,-220754053,первый
456242841,-220754053,Дорох тип блин 🫠
456242844,-220754053,на WB будет?
456242845,-220754053,VK store? Ogo
456242836,-220754053,2
456242835,-220754053,"Это так мило, спасибо, вк, моя первая соцсеть 🫶🫶🫶"
456242805,-220754053,Всех с наступающим новым годом ❤️
456242803,-220754053,Саню
456242801,-220754053,Ооо.это мы смотрим☝️👏❤️
456242783,-220754053,новогодняя барабулька
456242781,-220754053,Я потерял телефон подарите мне новый пожайлуста😭😢😥☹😟🥶
456242779,-220754053,Сеня!!
456242777,-220754053,"Только я заметил, что Арсений со временем становится похожим на Ветрова?"
456242774,-220754053,"Опа, интересненько"
456242770,-220754053,Валера топ
456242767,-220754053,Во сколько будет ?
456242764,-220754053,Магадан здесь) И встречает НГ вторым после Камчатки и Чукотки😉
456242765,-220754053,👎👎👎👎😏
456242762,-220754053,
456242760,-220754053,Первый 😁
456242758,-220754053,"Круто!!! Смотрим, спасибо!!!"
456242753,-220754053,Жду не дождусь трансляции
456242742,-220754053,Первый
456242751,-220754053,Думаю будет бомба 💣
456242722,-220754053,Ogo
456242716,-220754053,"Ну Катя Вяликова, ну какая шикарная, какая артистичная и красивая 🙈💗"
456242719,-220754053,
456242717,-220754053,
456242714,-220754053,Когда выложат?
456242712,-220754053,"1:11 а так вот как ты выглядишь автор формата дела и моих любимых форматов отдел раскрытых дел и есть версия, крутая реклама"
456242709,-220754053,Когда выложат?
456242705,-220754053,Первый
456242699,-220754053,
456242697,-220754053,"21:10 - было очень близко к тому, чтобы удариться лбом о край подиума и получить рассечение. 🤦‍♂️"
456242696,-220754053,Блин а ему реально тяжко...😔
456242694,-220754053,
456242689,-220754053,Первый
456242687,-220754053,О будет интересно 🤣👍
456242685,-220754053,"Горжусь достойной, Отечественной платформой!"
456242665,-220754053,"Серьезно, первого провала было мало, они снимают это говно дальше😂😂😂"
456242664,-220754053,УРААААА!!!
456242662,-220754053,Когда выложат?
456242658,-220754053,Три немаленьких пупсика))) Не лучше использовать хотя бы разум))
456242656,-220754053,шаст »
456242655,-220754053,
456242654,-220754053,"Решил посмотреть данное шоу, только из-за Игоря, но даже ради него, не смог выдержать этой xyйни и 20-и минут, кто это вообще смотрит, откуда просмотры?"
456242649,-220754053,Мда. Пропущу
456242646,-220754053,Ссылка не работает
456242644,-220754053,Норм
456242642,-220754053,
456242639,-220754053,"У меня на Umiio S24 ultra всё ставится, а VK говорит, что неподходящий планшет."
456242637,-220754053,В Гугле 100 нулей вообще не ожидал 😂
456242630,-220754053,💪
456242628,-220754053,
456242626,-220754053,Первый
456242623,-220754053,Мигель в шоу значит будет смешно 👍
456242613,-220754053,"Всем привет). Сняли подкаст, в котором обсуждаем самые интересные комментарии 1 этапа 2 сезона шоу «Битва за Время».

✅ эксклюзивный ответ Саши Ваша   https://vk.com/sashka_vash  про самый обсуждаемый образ - розовую «бабушкину» кофту 

✅ Любимчики зрителей «Дайте посмеяться» [club180207911|Дайте посмеяться] расскажут почему они не мультики и почему пришли во 2ой сезон. 

P.S. Это первый блин, да, он, комом, но он достаточно хорош😄 что бы это увидеть. 

Этот подкаст- искренний порыв моего сердца. Приятного просмотра🎉( сначала смотрим полуфинал, оставляем комментарии, лайкаем, а потом ко мне на страницу)."
456242611,-220754053,когда выпуск?
456242603,-220754053,Чиназес
456242601,-220754053,Искренне восхищаюсь самоиронией Олеси😍
456242605,-220754053,
456242599,-220754053,Маш
456242598,-220754053,Глянем
456242589,-220754053,
456242588,-220754053,Вк включите высокой 1080p🤬🤬🤬🤬🤬
456242583,-220754053,"Реклама говно, приложение балдеж"
456242574,-220754053,Имбецил пикчерс
456242573,-220754053,👏🏻🔥
456242571,-220754053,Как слева зовут подругу
456242564,-220754053,"хуервый! (бесят люди, которые пишут под видео ""первый"")"
456242563,-220754053,Отлично!
456242556,-220754053,"Не нужно забывать,  что у Саши мать - швея!"
456242553,-220754053,😍
456242551,-220754053,А где дата?
456242549,-220754053,Да ободок снял и нормально. Хватит его уже лошить!
456242534,-220754053,😳
456242532,-220754053,1-ый😊
456242527,-220754053,Самая искренняя! Пусть все в твоей жизни наладится 🙏🏻❤️
456242528,-220754053,"Создаётся ощущение, что это он у неё на сеансе, а не она у него ¯\_( ͡° ͜ʖ ͡°)_/¯"
456242525,-220754053,💜
456242518,-220754053,
456242516,-220754053,"Очередное дебильное шоу? Неужели ничего нельзя придумать? Вроде цитаты читаете , а уровень зашквара высок(."
456242514,-220754053,Первая )
456242511,-220754053,Свисвидесятый выпуск
456242487,-220754053,Очередная убогая херня от Саши Ваша. Как этот дибилойд в юморе оказался - не понятно.
456242485,-220754053,"Продакшен классный, но зачем гостя оскорблять"
456242484,-220754053,"Влад Коробейников лучший комик на свете! Надеюсь, он возьмет сезон"
456242480,-220754053,колхозные физиономии
456242476,-220754053,А во сколько сам выпуск то
456242473,-220754053,наконец то саша тут!!
456242472,-220754053,
456242462,-220754053,Талдыкорган!🫡
456242460,-220754053,"Судя по конкретному лицу в жюри, опять кого из армян тянуть будут."
456242454,-220754053,"Оооо вот и финалочка подъехала!!! Алексей и Генадий проекта Лесные сила💪💪💪все наливаем чай, и гоу смотреть 😎"
456242448,-220754053,Ух! Аж жутковато стало-вот это испытания для шефов! Сплав по реке для настоящих мужчин! Да! Ведь рядом Такие проводники! С ними все можно преодолеть! 👍😍А что же ждёт нас?! А Дикая кухня?! Ждём классных приключений! 🔥🌲👍❤
456242447,-220754053,Я так рада смотреть это шедевр
456242446,-220754053,"...опаньки, и хорошие слова то говорить умеет!!..неожиданно..ну ну..надолго ли?"
456242444,-220754053,
456242436,-220754053,1 кстати
456242434,-220754053,"А толку? Все круто и здорово, спасибо. Но я одного понять не могу? Где новые песни группы ""Купание обезьяны в теплой воде""? У вас там обезьяна уже в курагу превратилась и сморщилась от холодной воды. Давайте исправлять ситуацию. Я вам даже помогать буду. Вот держите новый хит ""Купание обезьяны в ХОЛОДНОЙ воде. Жду исполнения!"
456242418,-220754053,"Довольно таки странный состав жюри, но ладно"
456242416,-220754053,
456242414,-220754053,Вот это гость 🔥
456242412,-220754053,Серьёзно? И тут это кортавое недоразумение!!!
456242411,-220754053,"Блин,Как же это круто что у нас есть возможность брать интервью у всех на планете!ВК Вы большие молодцы!!!Так держать!!!!"
456242409,-220754053,
456242405,-220754053,Ждём'с!
456242401,-220754053,Дикая кухня-это просто какой то космос!!!
456242376,-220754053,Доктор Осьминог ))) на заставке)
456242371,-220754053,
456242374,-220754053,"На постпродакшене Сане звук в конце вывели, эти орут"
456242362,-220754053,
456242360,-220754053,Кто будет от Клик Клак?
456242367,-220754053,Ура
456242364,-220754053,"А как...,,?"
456242358,-220754053,Первая👌
456242351,-220754053,
456242349,-220754053,Когда хрен знает кто.
456242347,-220754053,
456242344,-220754053,"нах эту кухню..ну не хочу я её смотреть,нахрена мне уведомляшки ?..както отрегулируйте этот момент,.а то всё в одной куче."
456242339,-220754053,как же Игорь хорош! ДЭЭЭРЦ 🔥🔥
456242337,-220754053,А где 9 выпуск второго сезона money mic ????😳
456242333,-220754053,11:15 - А оператору кто поможет? У него дорогое оборудование. 😭😅
456242327,-220754053,"Снова Уральская тайга! Снова проверка на прочность, но уже не мужчин, а хрупких женщин!🌲👏 Огонь🔥! Но рядом с ними крепкие, надежные руки наших дорогих Алексея и Геннадия, Лесных! 👏👍❤Ждём захватывающих приключений! 😍"
456242325,-220754053,
456242320,-220754053,Йоу
456242318,-220754053,"Выпускайте выпуски в начале недели, не удобно выходные смотреть)"
456242311,-220754053,"А кнопка ""Скачать"" есть только у Бондарчука?))))))))))))))))))))))"
456242310,-220754053,"И дебила, который вологодчиной якобы руководит, туда же, в деревню... Там инглиш пригодиться!!!"
456242306,-220754053,"Долго выходит 
Публикация в 5.00 а выход в14.00 (временной  пояс +5)"
456242304,-220754053,
456242293,-220754053,Вообще не удивлюсь что парень про которого Амина говорит это крид !парень которы на публику строит себя добряком не удевлюсь что это маска и дома он грубо сказано тиран и совсем не добряк !
456242294,-220754053,Я бы конечно с радость но ❤ принадлежит другой 💞
456242256,-220754053,Новый выпуск)))
456242254,-220754053,
456242250,-220754053,Я первый ес
456242243,-220754053,"О! Дикая кухня снова зажигает костёр интереснейших приключений👏🔥! Снова Лесные, Алексей и Геннадий,  раскроют секреты выживания в тундре ,а повара - своих блюд! Класс! 👍! А кто победит?! Ждём! 🔥🌲"
456242241,-220754053,МНОГОТОЧИЕ
456242239,-220754053,Первая 😉
456242237,-220754053,"Ну, вот. Это я понимаю, крутой исполнитель!"
456242235,-220754053,
456242233,-220754053,Ура актив упал
456242222,-220754053,"Гошу уважаю за его откровенность, открытость,честность. Импонирует его отношение к жизни (опираясь на интервью). Шоу интересное тем, что откликаются некоторые моменты и есть расшифровка закрадравая."
