id,description,members_count,activity,status,contacts,site,age_limits,name,screen_name,is_closed,type,is_admin,is_member,is_advertiser,verified,photo_50,photo_100,photo_200,city
220754053,"Скачивай мобильное приложение VK Видео: https://trk.mail.ru/c/oy96s5

Встречай сообщество VK Видео! 

Проекты линейки Originals, эксклюзивные шоу, фильмы и многое другое — всё это ты найдешь в нашем сообществе. 

Подписывайся!

Читай статьи о наших шоу в Дзене: https://dzen.ru/vkvideo

По вопросам рекламы и коммерческих предложений, пожалуйста, пишите на SalesVkVideo@vk.company

Предложение идей для шоу: ideas@vk.team

Общие вопросы: vkvideo@vk.team",1522372,"Шоу, передача",Смотри всё и даже больше,[],https://vk.com/video,1,VK Видео,vkvideo,0,page,0,0,0,1,"https://sun1-13.userapi.com/s/v1/ig2/6EVNybCSYtzQeSi4bqqzqjlALFc2f3z7neE9g9s7ToYTgfOeCUigWQBUU8cFAFqkuSPFqtt4d87rA1ttrTrHNVjj.jpg?quality=95&crop=0,0,512,512&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480&ava=1&cs=50x50","https://sun1-13.userapi.com/s/v1/ig2/6EVNybCSYtzQeSi4bqqzqjlALFc2f3z7neE9g9s7ToYTgfOeCUigWQBUU8cFAFqkuSPFqtt4d87rA1ttrTrHNVjj.jpg?quality=95&crop=0,0,512,512&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480&ava=1&cs=100x100","https://sun1-13.userapi.com/s/v1/ig2/6EVNybCSYtzQeSi4bqqzqjlALFc2f3z7neE9g9s7ToYTgfOeCUigWQBUU8cFAFqkuSPFqtt4d87rA1ttrTrHNVjj.jpg?quality=95&crop=0,0,512,512&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480&ava=1&cs=200x200",
81597813,"⚠ YouTube: youtube.com/channel/UC2tsySbe9TNrI-xh2lximHA
⚠ VK: vk.com/id240651878
⚠ Instagram: instagram.com/a4omg/

 №4822716394",3005413,Блогер,Сотрудничество - 8 (984) 444-40-04,"[{'user_id': 240651878, 'desc': 'А4', 'email': 'a4a4a4a4PR@gmail.com'}]",,1,Влад Бумага А4,a4,0,page,0,0,0,1,"https://sun1-17.userapi.com/s/v1/ig2/HK98rvHytFiiKy2O1t6N2VxH2LG-BRiQfhBqFJGmJ1ysCvDJ_q-01eDBg5Qs30bC2MEu8MGpTJkb3TGe9wnCFQij.jpg?quality=95&crop=0,0,640,640&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640&ava=1&cs=50x50","https://sun1-17.userapi.com/s/v1/ig2/HK98rvHytFiiKy2O1t6N2VxH2LG-BRiQfhBqFJGmJ1ysCvDJ_q-01eDBg5Qs30bC2MEu8MGpTJkb3TGe9wnCFQij.jpg?quality=95&crop=0,0,640,640&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640&ava=1&cs=100x100","https://sun1-17.userapi.com/s/v1/ig2/HK98rvHytFiiKy2O1t6N2VxH2LG-BRiQfhBqFJGmJ1ysCvDJ_q-01eDBg5Qs30bC2MEu8MGpTJkb3TGe9wnCFQij.jpg?quality=95&crop=0,0,640,640&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640&ava=1&cs=200x200","{'id': 1, 'title': 'Москва'}"
211169870,"Привет! Я Глент и это мой паблик!!!
Спасибо за то, что нажал кнопку ""Подписаться"" :)
Включена Роскомнадзором в перечень персональных страниц  № 4905491671",1615055,Блогер,,"[{'user_id': 168582610}, {'desc': 'PR', 'email': 'glent@a4.by'}]",,1,ГЛЕНТ,glent,0,page,0,0,0,1,"https://sun1-24.userapi.com/s/v1/ig2/b_x5klcKGnEJFc_o_wvbZQeEnwDCfgKDEgEkrySHbRZfWW_PumQu6gIlBKgolmaNFHOllN1VWHYbi5wIjmI8U0mI.jpg?quality=95&crop=37,2,928,928&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720&ava=1&cs=50x50","https://sun1-24.userapi.com/s/v1/ig2/b_x5klcKGnEJFc_o_wvbZQeEnwDCfgKDEgEkrySHbRZfWW_PumQu6gIlBKgolmaNFHOllN1VWHYbi5wIjmI8U0mI.jpg?quality=95&crop=37,2,928,928&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720&ava=1&cs=100x100","https://sun1-24.userapi.com/s/v1/ig2/b_x5klcKGnEJFc_o_wvbZQeEnwDCfgKDEgEkrySHbRZfWW_PumQu6gIlBKgolmaNFHOllN1VWHYbi5wIjmI8U0mI.jpg?quality=95&crop=37,2,928,928&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720&ava=1&cs=200x200",
152009330,"Здесь мы собрали лучших комиков, блогеров и звезд, чтобы вместе создавать развлекательно-познавательный контент. Подписывайся!

На канале вас ждут новые шоу с уже полюбившимися участниками проекта! Исторический Квиз Стендап тоже никуда не исчез! Включайте уведомления!

Подписывайтесь на нас в других соц.сетях:
Ютуб: https://www.youtube.com/@iks_club/featured
ТГ: https://t.me/iks_club

По вопросам рекламы и сотрудничества x@surfluence.com или https://t.me/lasiberiana

Регистрация в перечне РКН: https://www.gosuslugi.ru/snet/67a3081624c8ba6dca87cb2f",148846,Юмор,,[],,1,ИКС,iks__club,0,page,0,0,0,0,"https://sun1-84.userapi.com/s/v1/ig2/QYUpRMI341dKUeA2tbFUCeQ-jso-iwFptnkco1zClVnk99CRWFqXYmRyDRJoLjz0_spfumBjojozQIKWnJ1Ek5n-.jpg?quality=95&crop=210,194,656,656&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640&ava=1&cs=50x50","https://sun1-84.userapi.com/s/v1/ig2/QYUpRMI341dKUeA2tbFUCeQ-jso-iwFptnkco1zClVnk99CRWFqXYmRyDRJoLjz0_spfumBjojozQIKWnJ1Ek5n-.jpg?quality=95&crop=210,194,656,656&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640&ava=1&cs=100x100","https://sun1-84.userapi.com/s/v1/ig2/QYUpRMI341dKUeA2tbFUCeQ-jso-iwFptnkco1zClVnk99CRWFqXYmRyDRJoLjz0_spfumBjojozQIKWnJ1Ek5n-.jpg?quality=95&crop=210,194,656,656&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640&ava=1&cs=200x200",
219283548,4825948796,179079,Блогер,,[{'user_id': 221559704}],https://www.youtube.com/@VilyamBruno/featured,1,Вильям Бруно,brunobroo,0,page,0,0,0,0,"https://sun1-18.userapi.com/s/v1/ig2/utiZ2M5zuRRcAEpfJDFO1Ueo5M5J08FkVMRWwEj58UHT3bZz7TEqENH1VC3EsJY5HZ0jf0litfz5wbmR5xm3di-9.jpg?quality=95&crop=174,0,1228,1228&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080&ava=1&cs=50x50","https://sun1-18.userapi.com/s/v1/ig2/utiZ2M5zuRRcAEpfJDFO1Ueo5M5J08FkVMRWwEj58UHT3bZz7TEqENH1VC3EsJY5HZ0jf0litfz5wbmR5xm3di-9.jpg?quality=95&crop=174,0,1228,1228&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080&ava=1&cs=100x100","https://sun1-18.userapi.com/s/v1/ig2/utiZ2M5zuRRcAEpfJDFO1Ueo5M5J08FkVMRWwEj58UHT3bZz7TEqENH1VC3EsJY5HZ0jf0litfz5wbmR5xm3di-9.jpg?quality=95&crop=174,0,1228,1228&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080&ava=1&cs=200x200",
147169109,"Здесь я рассказываю историю, изучаю бесконечное разнообразие человеческого поведения.  Развлекательно-познавательный.

Регистрация канала - https://clck.ru/3G6yWq",93216,"Шоу, передача",Вселенная не подозревает о твоём существовании! Расслабься!,"[{'user_id': 739601, 'desc': 'GEO'}]",https://www.youtube.com/c/GEOSHOW,1,GEO,geeeo,0,page,0,0,0,1,"https://sun1-86.userapi.com/s/v1/ig2/obRp9Strva56zAtY7qIXH1zkJKbjU2lSlu8gybiYDAk77dXVVxSDCvEo6YvQAXhP6F7iZr8lMil-VL_uqdlMknTf.jpg?quality=95&crop=366,372,1278,1278&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080&ava=1&cs=50x50","https://sun1-86.userapi.com/s/v1/ig2/obRp9Strva56zAtY7qIXH1zkJKbjU2lSlu8gybiYDAk77dXVVxSDCvEo6YvQAXhP6F7iZr8lMil-VL_uqdlMknTf.jpg?quality=95&crop=366,372,1278,1278&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080&ava=1&cs=100x100","https://sun1-86.userapi.com/s/v1/ig2/obRp9Strva56zAtY7qIXH1zkJKbjU2lSlu8gybiYDAk77dXVVxSDCvEo6YvQAXhP6F7iZr8lMil-VL_uqdlMknTf.jpg?quality=95&crop=366,372,1278,1278&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080&ava=1&cs=200x200",
213802301,"Официальное ВК-сообщество канала ШАСТУН.

Сотрудничество: DIDENOK TEAM 
shastoon@didenokteam.com",929839,"Шоу, передача",Новое видео уже на канале!,,,1,ШАСТУН,shastoon.channel,0,page,0,0,0,1,"https://sun1-19.userapi.com/s/v1/ig2/fxqJ-2q5vAogLoefCbA9Kh1LeFRI5rPl-f4dB72Nf_IpbrZBYxgUBKm_tqeI43dQrLuXLuZeOuTEZhXE-uEoNjOT.jpg?quality=95&crop=180,180,640,640&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640&ava=1&cs=50x50","https://sun1-19.userapi.com/s/v1/ig2/fxqJ-2q5vAogLoefCbA9Kh1LeFRI5rPl-f4dB72Nf_IpbrZBYxgUBKm_tqeI43dQrLuXLuZeOuTEZhXE-uEoNjOT.jpg?quality=95&crop=180,180,640,640&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640&ava=1&cs=100x100","https://sun1-19.userapi.com/s/v1/ig2/fxqJ-2q5vAogLoefCbA9Kh1LeFRI5rPl-f4dB72Nf_IpbrZBYxgUBKm_tqeI43dQrLuXLuZeOuTEZhXE-uEoNjOT.jpg?quality=95&crop=180,180,640,640&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640&ava=1&cs=200x200",
195985818,"Официальный паблик HARDCORE MEDIA – одного из крупнейших спортивных медиахолдингов в мире! Профессиональная лига кулачных боёв, ММА и бокса 🔥

Наши YouTube-каналы:

▪ Hardcore Fighting Championship https://www.youtube.com/@HardcoreFightingChampionship
▪ Hardcore Fighting Championship MMA https://www.youtube.com/@hfcmma
▪ HARDCORE BOXING https://www.youtube.com/@hardcoreboxing8768
▪ HARD NEWS https://youtube.com/@HardNews1

email: info@hardcorefc.ru
ДЛЯ ПАРТНЕРОВ: partnership@hardcorefc.ru
ДЛЯ ПРЕССЫ: pr@hardcorefc.ru

➡ Подать заявку на участие: https://hardcorefc.ru

🏆Подать заявку на участие в 4 сезон гран-при: https://forms.gle/aD79iXiBGT7dbziw6

Наш официальный телеграм-канал: https://t.me/+utefkv8I4uxiN2Zi",874420,Спортивная организация,Официальный паблик VK,"[{'desc': 'По вопросам рекламы', 'email': 'partnership@hardcorefc.ru'}]",https://hardcorefc.ru/hfc,1,Hardcore Fighting Championship,hardcore.fighting,0,page,0,0,0,0,"https://sun1-23.userapi.com/s/v1/ig2/KNSbQCOGTGmnWXfwJ7prlGyGVVHnjkluPFEBQAuIX4DP5mMYWiqzSzcVMvXXsy4oOSMX2_fjLR84h-5Cy16l4s7S.jpg?quality=95&crop=0,0,800,800&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720&ava=1&cs=50x50","https://sun1-23.userapi.com/s/v1/ig2/KNSbQCOGTGmnWXfwJ7prlGyGVVHnjkluPFEBQAuIX4DP5mMYWiqzSzcVMvXXsy4oOSMX2_fjLR84h-5Cy16l4s7S.jpg?quality=95&crop=0,0,800,800&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720&ava=1&cs=100x100","https://sun1-23.userapi.com/s/v1/ig2/KNSbQCOGTGmnWXfwJ7prlGyGVVHnjkluPFEBQAuIX4DP5mMYWiqzSzcVMvXXsy4oOSMX2_fjLR84h-5Cy16l4s7S.jpg?quality=95&crop=0,0,800,800&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720&ava=1&cs=200x200",
218565915,"Ссылки не в Сибири, а в описании!
По любым вопросам пишите на почту — reklama@asafev.ru
____
Делаем новости тут — https://www.youtube.com/@AsafevLife 
А документалки и обзоры на автомобили тут — https://www.youtube.com/@AsafevStas 
____
Канал в Телеграме — https://t.me/asafevstas 
Профиль в ТикТоке — @real.asafevstas 
____
Подбор автомобилей с пробегом в легендарном Автопрагмате — https://autopragmat.ru/
Бесплатная консультация в Москве и МО: +7 (495) 120-17-38
____
Контраварийное вождение и дрифт в не менее легендарной школе Ратата — https://ratata.ru/ 
____
Обслуживание авто VAG группы в сервисе Zimwerk — https://zimwerk.ru/msk
____
Размещение рекламы — reklama@asafev.ru 
____
Великолепный мерч и Кутёж тут 
https://market.yandex.ru/business--kutezh/84407784?cl..
____
Чтобы попасть в нашу команду, смотрите вакансии тут — https://asafev.ru 
А чтобы показать ваш авто в обзоре, заполните данные тут — https://forms.gle/ffDAsTSahBjR3Koy9
____
Перечень РКН: https://knd.gov.ru/license?id=678ef2e7714103552af84feb&registryType=bloggersPermission",339842,Блогер,"Как на Ютубе, только в ВК",[],https://www.youtube.com/@AsafevStas,1,Асафьев Стас,asafevstas,0,page,0,0,0,1,"https://sun1-92.userapi.com/s/v1/ig2/PgkuAJbNHw2G70IOLvmzEdAmYrKfLyf0no8BcB8qCwvKN_gYONMcA5VEBeY3PMAAUBEkfZYbdKUWzgIlqfngxsnx.jpg?quality=95&crop=212,0,1876,1876&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280,1440x1440&ava=1&cs=50x50","https://sun1-92.userapi.com/s/v1/ig2/PgkuAJbNHw2G70IOLvmzEdAmYrKfLyf0no8BcB8qCwvKN_gYONMcA5VEBeY3PMAAUBEkfZYbdKUWzgIlqfngxsnx.jpg?quality=95&crop=212,0,1876,1876&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280,1440x1440&ava=1&cs=100x100","https://sun1-92.userapi.com/s/v1/ig2/PgkuAJbNHw2G70IOLvmzEdAmYrKfLyf0no8BcB8qCwvKN_gYONMcA5VEBeY3PMAAUBEkfZYbdKUWzgIlqfngxsnx.jpg?quality=95&crop=212,0,1876,1876&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280,1440x1440&ava=1&cs=200x200",
219482354,"Женский Стендап на ТНТ
Женский Форум
Женское шоу

Я везде, где есть что-то «женское»!",387214,Комик,Мой первый сольный тур: https://femalestandup.ru/varvara-sherbakova,"[{'user_id': 79022155}, {'desc': 'По вопросам сотрудничества – Оксана', 'phone': '79997122612'}]",https://t.me/varjauletelaKANAL,1,Варвара Щербакова по вашим интересам!,varjauletela_group,0,page,0,0,0,1,"https://sun1-30.userapi.com/s/v1/ig2/jhm567uEjifSBvEo5r93ahX3oEQ6G2ZJ9OCplPHwef5STi-FBqUEO2sQTUyX4NB_BMpk8wTK0iNW5qGjTRIf-baA.jpg?quality=95&crop=182,13,359,359&as=32x32,48x48,72x72,108x108,160x160,240x240&ava=1&cs=50x50","https://sun1-30.userapi.com/s/v1/ig2/jhm567uEjifSBvEo5r93ahX3oEQ6G2ZJ9OCplPHwef5STi-FBqUEO2sQTUyX4NB_BMpk8wTK0iNW5qGjTRIf-baA.jpg?quality=95&crop=182,13,359,359&as=32x32,48x48,72x72,108x108,160x160,240x240&ava=1&cs=100x100","https://sun1-30.userapi.com/s/v1/ig2/jhm567uEjifSBvEo5r93ahX3oEQ6G2ZJ9OCplPHwef5STi-FBqUEO2sQTUyX4NB_BMpk8wTK0iNW5qGjTRIf-baA.jpg?quality=95&crop=182,13,359,359&as=32x32,48x48,72x72,108x108,160x160,240x240&ava=1&cs=200x200",
