web-scraper-order,web-scraper-start-url,show,show-href,title,channel,views,comments,ad_links,ad_links-href
"1740706148-1","https://vkvideo.ru/trends","ПОСЕТИЛ САМЫЕ СТРАШНЫЕ САЙТЫ В МИРЕ ! УЗНАЛ СВОЮ ДАТУ СМЕРТИ","https://vkvideo.ru/video-211169870_456241383","ПОСЕТИЛ САМЫЕ СТРАШНЫЕ САЙТЫ В МИРЕ ! УЗНАЛ СВОЮ ДАТУ СМЕРТИ","ГЛЕНТ","189 тыс просмотров·17 часов назад","Спасибо за видео!","",""
"1740706148-2","https://vkvideo.ru/trends","ПОСЕТИЛ САМЫЕ СТРАШНЫЕ САЙТЫ В МИРЕ ! УЗНАЛ СВОЮ ДАТУ СМЕРТИ","https://vkvideo.ru/video-211169870_456241383","ПОСЕТИЛ САМЫЕ СТРАШНЫЕ САЙТЫ В МИРЕ ! УЗНАЛ СВОЮ ДАТУ СМЕРТИ","ГЛЕНТ","189 тыс просмотров·17 часов назад","Я видел это","",""
"1740706148-3","https://vkvideo.ru/trends","ПОСЕТИЛ САМЫЕ СТРАШНЫЕ САЙТЫ В МИРЕ ! УЗНАЛ СВОЮ ДАТУ СМЕРТИ","https://vkvideo.ru/video-211169870_456241383","ПОСЕТИЛ САМЫЕ СТРАШНЫЕ САЙТЫ В МИРЕ ! УЗНАЛ СВОЮ ДАТУ СМЕРТИ","ГЛЕНТ","189 тыс просмотров·17 часов назад","","https://t.me/lilpaybot","https://vkvideo.ru/away.php?to=https%3A%2F%2Ft.me%2Flilpaybot&cc_key="
"1740706148-4","https://vkvideo.ru/trends","ПОСЕТИЛ САМЫЕ СТРАШНЫЕ САЙТЫ В МИРЕ ! УЗНАЛ СВОЮ ДАТУ СМЕРТИ","https://vkvideo.ru/video-211169870_456241383","ПОСЕТИЛ САМЫЕ СТРАШНЫЕ САЙТЫ В МИРЕ ! УЗНАЛ СВОЮ ДАТУ СМЕРТИ","ГЛЕНТ","189 тыс просмотров·17 часов назад","","https://t.me/vladglenttg","https://vkvideo.ru/away.php?to=https%3A%2F%2Ft.me%2Fvladglenttg&cc_key="
"1740706152-5","https://vkvideo.ru/trends","Степан Меньщиков, Константин Анисимов, Виталий Андреев, Роман Кискин, Кокушкина и Павлов. Квиз-Стендап.","https://vkvideo.ru/video-152009330_456241863","Степан Меньщиков, Константин Анисимов, Виталий Андреев, Роман Кискин, Кокушкина и Павлов. Квиз-Стендап.","ИКС","437 тыс просмотров·2 дня назад","Шляпа полная","",""
"1740706152-6","https://vkvideo.ru/trends","Степан Меньщиков, Константин Анисимов, Виталий Андреев, Роман Кискин, Кокушкина и Павлов. Квиз-Стендап.","https://vkvideo.ru/video-152009330_456241863","Степан Меньщиков, Константин Анисимов, Виталий Андреев, Роман Кискин, Кокушкина и Павлов. Квиз-Стендап.","ИКС","437 тыс просмотров·2 дня назад","Тот случай, когда смотришь ради ведущих","",""
"1740706152-7","https://vkvideo.ru/trends","Степан Меньщиков, Константин Анисимов, Виталий Андреев, Роман Кискин, Кокушкина и Павлов. Квиз-Стендап.","https://vkvideo.ru/video-152009330_456241863","Степан Меньщиков, Константин Анисимов, Виталий Андреев, Роман Кискин, Кокушкина и Павлов. Квиз-Стендап.","ИКС","437 тыс просмотров·2 дня назад","А вы кто вообще??Вас кто-то знает?","",""
"1740706152-8","https://vkvideo.ru/trends","Степан Меньщиков, Константин Анисимов, Виталий Андреев, Роман Кискин, Кокушкина и Павлов. Квиз-Стендап.","https://vkvideo.ru/video-152009330_456241863","Степан Меньщиков, Константин Анисимов, Виталий Андреев, Роман Кискин, Кокушкина и Павлов. Квиз-Стендап.","ИКС","437 тыс просмотров·2 дня назад","","https://vk.com/iks__club","https://vkvideo.ru/away.php?to=https%3A%2F%2Fvk.com%2Fiks__club&cc_key="
"1740706152-9","https://vkvideo.ru/trends","Степан Меньщиков, Константин Анисимов, Виталий Андреев, Роман Кискин, Кокушкина и Павлов. Квиз-Стендап.","https://vkvideo.ru/video-152009330_456241863","Степан Меньщиков, Константин Анисимов, Виталий Андреев, Роман Кискин, Кокушкина и Павлов. Квиз-Стендап.","ИКС","437 тыс просмотров·2 дня назад","","https://t.me/iks_club","https://vkvideo.ru/away.php?to=https%3A%2F%2Ft.me%2Fiks_club&cc_key="
"1740706152-10","https://vkvideo.ru/trends","Степан Меньщиков, Константин Анисимов, Виталий Андреев, Роман Кискин, Кокушкина и Павлов. Квиз-Стендап.","https://vkvideo.ru/video-152009330_456241863","Степан Меньщиков, Константин Анисимов, Виталий Андреев, Роман Кискин, Кокушкина и Павлов. Квиз-Стендап.","ИКС","437 тыс просмотров·2 дня назад","","https://dzen.ru/iks__club","https://vkvideo.ru/away.php?to=https%3A%2F%2Fdzen.ru%2Fiks__club&cc_key="
