id,owner_id,group_name,title,album_video_percent
1,-211229778,Женский форум,Женский Форум,100.0
30,-209976560,LABELCOM,Шов про звуки,100.0
29,-209976560,LABELCOM,Дудиков Филмс,100.0
28,-209976560,LABELCOM,МОЙ ПЕРВЫЙ РЭП,100.0
27,-209976560,LABELCOM,Разговор с Антоном Остерниковым,100.0
26,-209976560,LABELCOM,СТЫДНО ЗНАТЬ,100.0
25,-209976560,LABELCOM,БОЛЬШАЯ ПРОЖАРКА,100.0
24,-209976560,LABELCOM,ЗВЁЗДНЫЙ ДУРАК,100.0
8,-209976560,LABELCOM,#СОЗВОН,100.0
18,-209976560,LABELCOM,ПЛОХИЕ ВЫДУМАННЫЕ НОВОСТИ,100.0
13,-209976560,LABELCOM,Roast Battle,100.0
23,-209976560,LABELCOM,ОТКУДА ТЫ?,100.0
22,-209976560,LABELCOM,ВОВА ИЗ АТАМАНОВО,100.0
21,-209976560,LABELCOM,СКОЛЬКО?!,100.0
20,-209976560,LABELCOM,Шутки типа АСМР,100.0
19,-209976560,LABELCOM,"Прощай, Легенда",100.0
15,-209976560,LABELCOM,Что было дальше? ЧБД,100.0
17,-209976560,LABELCOM,МИЛЛИОНЫ,100.0
16,-209976560,LABELCOM,Понты,100.0
14,-209976560,LABELCOM,Лена Кука,100.0
12,-209976560,LABELCOM,Кто Здесь Комик,100.0
11,-209976560,LABELCOM,Блиц-крик,100.0
10,-209976560,LABELCOM,MEDIUM QUALITY РЕКОМЕНДУЕТ,100.0
9,-209976560,LABELCOM,По хатам,100.0
7,-209976560,LABELCOM,LABELCOM,100.0
6,-209976560,LABELCOM,В ритме колбасы,100.0
5,-209976560,LABELCOM,Рекомендованные,100.0
4,-209976560,LABELCOM,Два с половиной микрофона,100.0
3,-209976560,LABELCOM,НОВЫЙ ГОД С MEDIUM QUALITY,100.0
2,-209976560,LABELCOM,Два микрофона,100.0
1,-209976560,LABELCOM,То шо скетчи,100.0
11,-203677279,Импроком,Круг,100.0
10,-203677279,Импроком,ЧДКИ,100.0
9,-203677279,Импроком,Тейбл Тайм,100.0
8,-203677279,Импроком,ШОУ ИСТОРИИ,100.0
4,-203677279,Импроком,ГРОМКИЙ ВОПРОС,100.0
7,-203677279,Импроком,Импроком,100.0
6,-203677279,Импроком,НА РЕПИТЕ,100.0
3,-203677279,Импроком,ИМПРОВЛОГ,100.0
2,-203677279,Импроком,Импровизация. Команды,100.0
1,-203677279,Импроком,Импровизация. Концерт,100.0
8,-165221845,ОХ,Зона Комфорта. 3 сезон.,100.0
7,-165221845,ОХ,ОХ,100.0
6,-165221845,ОХ,Ошуительное Хоу,100.0
5,-165221845,ОХ,НОВЫЙ ГОД С MEDIUM QUALITY,100.0
3,-165221845,ОХ,Zona Komforta 2,100.0
4,-165221845,ОХ,Zona Komforta,100.0
2,-165221845,ОХ,MEDIUM QUALITY РЕКОМЕНДУЕТ,100.0
50,-110135406,Азамат Мусугалиев,А.М.,100.0
49,-110135406,Азамат Мусугалиев,Большое шоу. 11 сезон.,100.0
48,-110135406,Азамат Мусугалиев,БРОПРО,100.0
47,-110135406,Азамат Мусугалиев,Большое шоу. Сезон #10.,100.0
46,-110135406,Азамат Мусугалиев,Большое шоу. Сезон #9.,100.0
45,-110135406,Азамат Мусугалиев,Большое шоу. Сезон #8.,100.0
44,-110135406,Азамат Мусугалиев,Большое Шоу. Все сезоны.,100.0
30,-110135406,Азамат Мусугалиев,Я себя знаю!,100.0
37,-110135406,Азамат Мусугалиев,Это про меня 2,100.0
43,-110135406,Азамат Мусугалиев,Большое шоу. Сезон #7,100.0
42,-110135406,Азамат Мусугалиев,Большое шоу. Сезон #6,100.0
41,-110135406,Азамат Мусугалиев,Большое шоу. Сезон #5.,100.0
40,-110135406,Азамат Мусугалиев,ШПАМ,100.0
39,-110135406,Азамат Мусугалиев,Большое шоу. Сезон #4.,100.0
38,-110135406,Азамат Мусугалиев,Большое шоу. Сезон #3,100.0
36,-110135406,Азамат Мусугалиев,Большое шоу. Сезон #2,100.0
34,-110135406,Азамат Мусугалиев,Большое шоу. Сезон #1,100.0
32,-110135406,Азамат Мусугалиев,ШТОРКИ,100.0
35,-110135406,Азамат Мусугалиев,Это про меня!,100.0
31,-110135406,Азамат Мусугалиев,MEDIUM QUALITY РЕКОМЕНДУЕТ,100.0
29,-110135406,Азамат Мусугалиев,Азамат Мусагалиев,100.0
28,-110135406,Азамат Мусугалиев,МЕГАФОН,100.0
27,-110135406,Азамат Мусугалиев,TELEGRAM,100.0
16,-110135406,Азамат Мусугалиев,INSTAGRAM,100.0
26,-110135406,Азамат Мусугалиев,TALK,100.0
21,-110135406,Азамат Мусугалиев,ТНТ - заставки,100.0
6,-110135406,Азамат Мусугалиев,ОДНАЖДЫ В РОССИИ,100.0
15,-110135406,Азамат Мусугалиев,КВН,100.0
22,-110135406,Азамат Мусугалиев,ПРОМО,100.0
33,-110135406,Азамат Мусугалиев,НОВЫЙ ГОД С MEDIUM QUALITY,100.0
5,-110135406,Азамат Мусугалиев,"ТВ, радио, интервью",100.0
25,-110135406,Азамат Мусугалиев,Другое,100.0
30,-159848117,ТОП,Плюс вайб,100.0
29,-159848117,ТОП,ЛПШКИ,100.0
28,-159848117,ТОП,Шоу «ТОП»,100.0
9,-211437014,Артемий Лебедев,Самый хороший подкаст,100.0
2,-211437014,Артемий Лебедев,Истории про дизайн,100.0
4,-211437014,Артемий Лебедев,Тревел,100.0
3,-211437014,Артемий Лебедев,Беседы,100.0
8,-211437014,Артемий Лебедев,Реклама,100.0
1,-211437014,Артемий Лебедев,Каталог,100.0
7,-211437014,Артемий Лебедев,Самые Честные Новости,100.0
25,-131607049,ТНТ Видео,Миллион вопросов,100.0
24,-131607049,ТНТ Видео,Большое переселение,100.0
23,-131607049,ТНТ Видео,ГАЛУСТЯН+,100.0
20,-131607049,ТНТ Видео,Женский стендап,100.0
18,-131607049,ТНТ Видео,ТНТ ПРЕМЬЕРЫ,100.0
16,-131607049,ТНТ Видео,Концерты,100.0
15,-131607049,ТНТ Видео,Импровизация. Команды,100.0
13,-131607049,ТНТ Видео,Comedy Club ТНТ видео,100.0
12,-131607049,ТНТ Видео,Однажды в России,100.0
11,-131607049,ТНТ Видео,Stand Up,100.0
10,-131607049,ТНТ Видео,Перезагрузка,100.0
8,-131607049,ТНТ Видео,Новые танцы,100.0
